2024-05-28 11:19:31 | INFO | stdout | INFO:     127.0.0.1:35794 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-05-28 11:20:05 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:20:05 | INFO | stdout | INFO:     127.0.0.1:44758 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:20:16 | INFO | stdout | INFO:     127.0.0.1:37322 - "POST /list_models HTTP/1.1" 200 OK
2024-05-28 11:20:16 | INFO | controller | names: ['http://127.0.0.1:20002'], queue_lens: [0.0], ret: http://127.0.0.1:20002
2024-05-28 11:20:16 | INFO | stdout | INFO:     127.0.0.1:37338 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-05-28 11:20:51 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:20:51 | INFO | stdout | INFO:     127.0.0.1:45054 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:21:36 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:21:36 | INFO | stdout | INFO:     127.0.0.1:37968 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:22:21 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:22:21 | INFO | stdout | INFO:     127.0.0.1:54468 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:23:06 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:23:06 | INFO | stdout | INFO:     127.0.0.1:33128 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:23:51 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:23:51 | INFO | stdout | INFO:     127.0.0.1:52548 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:24:36 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:24:36 | INFO | stdout | INFO:     127.0.0.1:43670 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:25:21 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:25:21 | INFO | stdout | INFO:     127.0.0.1:45686 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:26:06 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:26:06 | INFO | stdout | INFO:     127.0.0.1:56940 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:26:51 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:26:51 | INFO | stdout | INFO:     127.0.0.1:51664 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:27:36 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:27:36 | INFO | stdout | INFO:     127.0.0.1:34276 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:28:21 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:28:21 | INFO | stdout | INFO:     127.0.0.1:48642 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:29:06 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:29:06 | INFO | stdout | INFO:     127.0.0.1:40064 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:29:51 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:29:51 | INFO | stdout | INFO:     127.0.0.1:56042 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:30:36 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:30:36 | INFO | stdout | INFO:     127.0.0.1:36176 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:31:21 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:31:21 | INFO | stdout | INFO:     127.0.0.1:53832 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:32:06 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:32:06 | INFO | stdout | INFO:     127.0.0.1:57796 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:32:51 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:32:51 | INFO | stdout | INFO:     127.0.0.1:38880 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:33:36 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:33:36 | INFO | stdout | INFO:     127.0.0.1:36346 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:34:21 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:34:21 | INFO | stdout | INFO:     127.0.0.1:42234 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:35:06 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:35:06 | INFO | stdout | INFO:     127.0.0.1:34528 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:35:51 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:35:51 | INFO | stdout | INFO:     127.0.0.1:43148 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:36:37 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:36:37 | INFO | stdout | INFO:     127.0.0.1:50426 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:37:22 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:37:22 | INFO | stdout | INFO:     127.0.0.1:43532 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:38:07 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:38:07 | INFO | stdout | INFO:     127.0.0.1:39356 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:38:13 | INFO | stdout | INFO:     127.0.0.1:39366 - "POST /list_models HTTP/1.1" 200 OK
2024-05-28 11:38:13 | INFO | stdout | INFO:     127.0.0.1:39382 - "POST /list_models HTTP/1.1" 200 OK
2024-05-28 11:38:52 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:38:52 | INFO | stdout | INFO:     127.0.0.1:52988 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:39:37 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:39:37 | INFO | stdout | INFO:     127.0.0.1:42950 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:40:22 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:40:22 | INFO | stdout | INFO:     127.0.0.1:55546 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:41:07 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:41:07 | INFO | stdout | INFO:     127.0.0.1:46900 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:41:52 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:41:52 | INFO | stdout | INFO:     127.0.0.1:34188 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:42:37 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:42:37 | INFO | stdout | INFO:     127.0.0.1:55482 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:43:22 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:43:22 | INFO | stdout | INFO:     127.0.0.1:55738 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:44:07 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:44:07 | INFO | stdout | INFO:     127.0.0.1:50892 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:44:52 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:44:52 | INFO | stdout | INFO:     127.0.0.1:35088 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:45:37 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:45:37 | INFO | stdout | INFO:     127.0.0.1:47476 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:46:22 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:46:22 | INFO | stdout | INFO:     127.0.0.1:34762 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:47:07 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:47:07 | INFO | stdout | INFO:     127.0.0.1:54338 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:47:52 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:47:52 | INFO | stdout | INFO:     127.0.0.1:48310 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:48:37 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:48:37 | INFO | stdout | INFO:     127.0.0.1:35632 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:49:22 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:49:22 | INFO | stdout | INFO:     127.0.0.1:49306 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:50:07 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:50:07 | INFO | stdout | INFO:     127.0.0.1:54502 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:50:52 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:50:52 | INFO | stdout | INFO:     127.0.0.1:35628 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:51:38 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:51:38 | INFO | stdout | INFO:     127.0.0.1:39530 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:52:23 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:52:23 | INFO | stdout | INFO:     127.0.0.1:39436 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:53:08 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:53:08 | INFO | stdout | INFO:     127.0.0.1:51004 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:53:53 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:53:53 | INFO | stdout | INFO:     127.0.0.1:49338 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:54:38 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
